ad_id,publisher_id,type,location,purpose,price,title,description
1,100289,residence,Πάτρα,rent,400,Διαμέρισμα 78 τ.μ.,τριάρι μπάνιο και κουζίνα όχι πετρέλαιο. στην οδο Κολοκοτρώνη 32 στην πλατεία Όλγας
2,100277,residence,Πάτρα,rent,580,Διαμέρισμα 58 τ.μ.,μπαλκονόπορτες με διπλή ενεργειακή θωράκιση για ηχομόνωση και θερμομόνωση. Ευρύχωρο φωτεινότατο έναντι διατηρητέου κτιρίου και αρχαιολογικού χώρου στην κεντρική πλατεία Υψηλών Αλωνίων στην Πάτρα. Πλησίον Αγοράς Υπηρεσιών Τραπεζών και εστίασης. Με βασικό πλεονέκτημα την εξοικονόμηση ενέργειας και πλήρη ριζική ανακατασκευή που έχει ολοκληρωθεί πρόσφατα. Για την ενοικίαση ζητείται η καταβολή μισθωμάτων έτους και εγγύησης
3,100479,residence,Πάτρα,rent,385,Διαμέρισμα 42 τ.μ.,κεντρικό πλησίον Αγ. Διονυσίου με ιδιαίτερα χαρακτηριστικά διακόσμησης πλήρως εξοπλισμένο με ηλεκτρικές συσκευές σύγχρονη κουζίνα με ελαστική μπαταρία νεροχύτη ρελέ ασφαλείας εντοιχιζόμενη ντουλάπα και φωτισμό led διαθέτει στεγασμένη θέση στάθμευσης με ισχυρή γκαραζόπορτα τηλεχειρισμού σύστημα εξωτερικό φωτισμό νύχτας και κίνηση led και αυλή με κήπο διατίθεται το ελάχιστο για ένα χρόνο και με προκαταβλητέα τα μισθώματα συν την εγγύηση
4,100122,residence,Πάτρα,rent,750,Διαμέρισμα 80 τ.μ.,ΑΡΟΗ Πολυτελές ρετιρέ διαμέρισμα 80 τ. μ. αποπερατωμένο Αύγουστος 2022 σύγχρονο μινιμαλιστικό design νέες εντοιχισμένες ηλεκτρικές συσκευές υψηλής αισθητικής και ποιότητας μοναδική απεριόριστη πανοραμική θέα στον Πατραϊκό μεγάλη βεράντα διατίθεται πρώτη φορά για κατοίκηση ιδανικό για ζευγάρι με ένα ή δύο παιδιά με προοπτική μακρόχρονης μίσθωσης
5,100437,residence,Πάτρα,rent,900,Διαμέρισμα 100 τ.μ.,Πελεκάνος μαρίνα φατσα θάλασσα 2 μπανια μεγαλο σαλονι μεγαλες βεραντες απεριοριστη θεα θαλασσα. Ηρωων πολυτεχνειου 88
6,100263,residence,Πάτρα,rent,280,Διαμέρισμα 56 τ.μ.,Πλησίον Πλατείας Παπανδρέου ενοικιάζεται 2άρι 56 τ.μ. 1ου ορόφου κατασκευής 2008 με 1υ/δ σαλόνι και αυτόνομη κουζίνα διαμπερές Α/Θ διπλά τζάμια.γιά άμεση εξυπηρέτηση 6946454306
7,100193,residence,Πάτρα,rent,400,Διαμέρισμα 32 τ.μ.,ΠΑΤΡΑ νεόδμητο studio 32 τ. μ.  1 ου 1 υ/δ κατασκευή '08  μπάνιο επιπλωμένο θέρμανση: αυτόνομη θέρμανση κλιματισμός απεριόριστη θέα πάρκινγκ πιλοτής ελεύθερο Ενοικιάζεται γκαρσονιέρα - studio στον πρώτο όροφο 32 τ. μ.  στο μέσο της απόστασης μεταξύ κέντρου Πάτρας και Πανεπιστημίου. Στα 50 μ. υπάρχει στάση λεωφορείου καθώς και μαγαζιά (super market φούρνος φαρμακείο ψησταριά κομμωτήριο κουρείο ψησταριά ζαχαροπλαστείο κ. λ. π. ). Το διαμέρισμα είναι πλήρως επιπλωμένο με καινούργια έπιπλα και ηλεκτρικές συσκευές (ψυγείο κουζινάκι πλυντήριο τηλεόραση). Θέρμανση - ψύξη με καινούργιο air condition inverter έχει θέση πάρκινγκ στην πιλοτή για μικρό ή μεσαίο αυτοκίνητο. Βρίσκεται σε διώροφο κτίριο με αίθριο. Μεγάλη βεράντα με όμορφη θέα και είναι πολύ φωτεινό και ζεστό γιατί είναι ανατολικομεσημβρινό. Είναι καλαίσθητα επιπλωμένο με έπιπλα που αγοράστηκαν για το ίδιο και όχι περισσεύματα από άλλα σπίτια. Έχει επίσης χαλιά που δεν φαίνονται στις φωτογραφίες καθώς και όλα τα κουζινικά σκεύη. Ανακαινίστηκε πλήρως τον Σεπτέμβριο του 2021.
8,100471,residence,Πάτρα,rent,400,Διαμέρισμα 85 τ.μ.,επιπλωμένο ή άνευ επίπλων σαλόνι κουζίνα τραπεζαρία μπάνιο και αυτόνομη θέρμανση. Πολύ καλή κατασκευή
9,100256,residence,Πάτρα,rent,450,Μονοκατοικία 60 τ.μ.,ΚΩΔΙΚΟΣ ΑΚΙΝΗΤΟΥ: 22756 | ΠΑΤΡΑ ΠΡΟΑΣΤΙΟ: ΕΝΟΙΚΙΑΖΕΤΑΙ ΔΙΑΜΠΕΡΗΣ ΜΟΝΟΚΑΤΟΙΚΙΑ 60Τ.Μ. ΣΕ 100Τ.Μ. ΟΙΚΟΠΕΔΟ ΜΕ ΑΥΤΟΝΟΜΗ ΘΕΡΜΑΝΣΗ ΠΕΤΡΕΛΑΙΟΥ. ΑΠΟΤΕΛΕΙΤΑΙ ΑΠΟ 2 ΥΠΝΟΔΩΜΑΤΙΑ 1 ΚΟΥΖΙΝΑ 1 ΣΑΛΟΝΙ ΚΑΙ ΜΠΑΝΙΟ. ΕΙΝΑΙ ΠΛΗΡΩΣ ΕΠΙΠΛΩΜΕΝΗ ΕΞΟΠΛΙΣΜΕΝΗ ΜΕ ΗΛΕΚΤΡΙΚΕΣ ΣΥΣΚΕΥΕΣ ΚΑΤΑΣΚΕΥΑΣΜΕΝΗ ΤΟ 1985 ΒΑΜΜΕΝΗ ΚΑΙ ΔΙΑΘΕΤΕΙ ΩΡΑΙΑ ΘΕΑ ΚΟΥΦΩΜΑΤΑ ΑΛΟΥΜΙΝΙΟΥ ΜΕ ΔΙΠΛΑ ΤΖΑΜΙΑ ΕΞΩΤΕΡΙΚΗ ΘΕΣΗ ΣΤΑΘΜΕΥΣΗΣ ΚΛΙΜΑΤΙΣΜΟ ΔΑΠΕΔΑ ΑΠΟ ΜΑΡΜΑΡΟ. ΕΙΝΑΙ ΙΔΑΝΙΚΗ ΓΙΑ ΦΟΙΤΗΤΕΣ ΧΩΡΙΣ ΜΗΝΙΑΙΑ ΚΟΙΝΟΧΡΗΣΤΑ ΚΑΙ ΕΠΙΤΡΕΠΟΝΤΑΙ ΤΑ ΚΑΤΟΙΚΙΔΙΑ.     ΤΙΜΗ 450€ | ΚΩΔΙΚΟΣ ΑΚΙΝΗΤΟΥ: 22756 ΑΚΙΝΗΤΑ ΑΠΟΚΛΕΙΣΤΙΚΗΣ ΔΙΑΘΕΣΗΣ ΜΕ ΦΩΤΟΓΡΑΦΙΕΣ ΠΟΥ ΔΙΑΧΕΙΡΙΖΕΤΑΙ Η ΕΤΑΙΡΙΑ ΜΑΣ ΘΑ ΒΡΕΙΤΕ ΣΤΗΝ ΙΣΤΟΣΕΛΙΔΑ ΜΑΣ. WEBSITE: www.tzelirealestate.gr ΓΙΑ ΤΗΝ ΚΑΛΥΤΕΡΗ ΕΞΥΠΗΡΕΤΗΣΗ ΣΑΣ ΧΡΗΣΙΜΟΠΟΙΕΙΣΤΕ ΤΟΝ ΚΩΔΙΚΟ ΑΚΙΝΗΤΟΥ ΠΟΥ ΑΝΑΓΡΑΦΕΤΑΙ ΣΤΗΝ ΠΕΡΙΓΡΑΦΗ. Η ΔΙΕΥΘΥΝΣΗ ΣΤΟΝ ΧΑΡΤΗ ΕΧΕΙ ΤΟΠΟΘΕΤΗΘΕΙ ΚΑΤΑ ΠΡΟΣΕΓΓΙΣΗ. ΟΙ ΑΚΡΙΒΕΙΣ ΠΛΗΡΟΦΟΡΙΕΣ ΤΗΣ ΔΙΕΥΘΥΝΣΗΣ ΠΑΡΕΧΟΝΤΑΙ ΣΤΗΝ ΥΠΟΔΕΙΞΗ ΤΟΥ ΑΚΙΝΗΤΟΥ.
10,100458,residence,Πάτρα,rent,450,Διαμέρισμα 52 τ.μ.,ΚΩΔΙΚΟΣ ΑΚΙΝΗΤΟΥ: 22757 | ΠΑΤΡΑ ΥΨΗΛΑ ΑΛΩΝΙΑ: ΕΝΟΙΚΙΑΖΕΤΑΙ ΝΕΟΔΜΗΤΟ ΓΩΝΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ 52Τ.Μ. ΠΡΟΣΟΨΕΩΣ ΣΤΟΝ 5 ΟΡΟΦΟ ΜΕ ΑΣΑΝΣΕΡ ΜΕ ΑΥΤΟΝΟΜΗ ΘΕΡΜΑΝΣΗ ΠΕΤΡΕΛΑΙΟΥ. ΑΠΟΤΕΛΕΙΤΑΙ ΑΠΟ 1 ΥΠΝΟΔΩΜΑΤΙΟ 1 ΚΟΥΖΙΝΑ 1 ΣΑΛΟΝΙ ΚΑΙ ΜΠΑΝΙΟ. ΕΙΝΑΙ ΚΑΤΑΣΚΕΥΑΣΜΕΝΟ ΤΟ 2008 ΒΑΜΜΕΝΟ ΚΑΙ ΔΙΑΘΕΤΕΙ ΩΡΑΙΑ ΘΕΑ ΚΟΥΦΩΜΑΤΑ ΑΛΟΥΜΙΝΙΟΥ ΜΕ ΔΙΠΛΑ ΤΖΑΜΙΑ ΠΟΡΤΑ ΑΣΦΑΛΕΙΑΣ ΚΛΙΜΑΤΙΣΜΟ ΔΑΠΕΔΑ ΑΠΟ ΠΛΑΚΑΚΙ ΗΛΙΑΚΟ ΘΕΡΜΟΣΙΦΩΝΑ. ΕΙΝΑΙ ΙΔΑΝΙΚΟ ΓΙΑ ΦΟΙΤΗΤΕΣ. ΕΠΙΠΛΕΟΝ ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ: ΘΥΡΟΤΗΛΕΟΡΑΣΗ. ΔΙΝΕΤΑΙ ΕΠΙΠΛΩΜΕΝΟ-ΕΞΟΠΛΙΣΜΕΝΟ ΣΤΑ 500€.     ΤΙΜΗ 450€ | ΚΩΔΙΚΟΣ ΑΚΙΝΗΤΟΥ: 22757 ΑΚΙΝΗΤΑ ΑΠΟΚΛΕΙΣΤΙΚΗΣ ΔΙΑΘΕΣΗΣ ΜΕ ΦΩΤΟΓΡΑΦΙΕΣ ΠΟΥ ΔΙΑΧΕΙΡΙΖΕΤΑΙ Η ΕΤΑΙΡΙΑ ΜΑΣ ΘΑ ΒΡΕΙΤΕ ΣΤΗΝ ΙΣΤΟΣΕΛΙΔΑ ΜΑΣ. WEBSITE: www.tzelirealestate.gr ΓΙΑ ΤΗΝ ΚΑΛΥΤΕΡΗ ΕΞΥΠΗΡΕΤΗΣΗ ΣΑΣ ΧΡΗΣΙΜΟΠΟΙΕΙΣΤΕ ΤΟΝ ΚΩΔΙΚΟ ΑΚΙΝΗΤΟΥ ΠΟΥ ΑΝΑΓΡΑΦΕΤΑΙ ΣΤΗΝ ΠΕΡΙΓΡΑΦΗ. Η ΔΙΕΥΘΥΝΣΗ ΣΤΟΝ ΧΑΡΤΗ ΕΧΕΙ ΤΟΠΟΘΕΤΗΘΕΙ ΚΑΤΑ ΠΡΟΣΕΓΓΙΣΗ. ΟΙ ΑΚΡΙΒΕΙΣ ΠΛΗΡΟΦΟΡΙΕΣ ΤΗΣ ΔΙΕΥΘΥΝΣΗΣ ΠΑΡΕΧΟΝΤΑΙ ΣΤΗΝ ΥΠΟΔΕΙΞΗ ΤΟΥ ΑΚΙΝΗΤΟΥ.
